usia;kelompok
71        ;Tua                 
63        ;Tua                 
67        ;Tua                 
56        ;Tua                 
61        ;Tua                 
6         ;Kanak-Kanak         
28        ;Dewasa              
19        ;Pemuda              
66        ;Tua                 
64        ;Tua                 
13        ;Remaja              
38        ;Dewasa              
70        ;Tua                 
71        ;Tua                 
70        ;Tua                 
69        ;Tua                 
52        ;Dewasa              
10        ;Kanak-Kanak         
63        ;Tua                 
58        ;Tua                 
38        ;Dewasa              
66        ;Tua                 
75        ;Tua                 
26        ;Dewasa              
38        ;Dewasa              
43        ;Dewasa              
37        ;Dewasa              
40        ;Dewasa              
50        ;Dewasa              
14        ;Remaja              
77        ;Tua                 
28        ;Dewasa              
54        ;Dewasa              
74        ;Tua                 
79        ;Tua                 
43        ;Dewasa              
52        ;Dewasa              
67        ;Tua                 
5         ;Balita              
51        ;Dewasa              
52        ;Dewasa              
13        ;Remaja              
52        ;Dewasa              
76        ;Tua                 
25        ;Dewasa              
79        ;Tua                 
67        ;Tua                 
37        ;Dewasa              
61        ;Tua                 
7         ;Kanak-Kanak         
48        ;Dewasa              
67        ;Tua                 
76        ;Tua                 
21        ;Pemuda              
40        ;Dewasa              
9         ;Kanak-Kanak         
36        ;Dewasa              
77        ;Tua                 
33        ;Dewasa              
8         ;Kanak-Kanak         
26        ;Dewasa              
49        ;Dewasa              
53        ;Dewasa              
34        ;Dewasa              
38        ;Dewasa              
23        ;Pemuda              
54        ;Dewasa              
60        ;Tua                 
74        ;Tua                 
17        ;Pemuda              
4         ;Balita              
70        ;Tua                 
79        ;Tua                 
80        ;Tua                 
28        ;Dewasa              
36        ;Dewasa              
53        ;Dewasa              
17        ;Pemuda              
54        ;Dewasa              
69        ;Tua                 
63        ;Tua                 
40        ;Dewasa              
49        ;Dewasa              
79        ;Tua                 
37        ;Dewasa              
14        ;Remaja              
33        ;Dewasa              
42        ;Dewasa              
79        ;Tua                 
66        ;Tua                 
75        ;Tua                 
78        ;Tua                 
80        ;Tua                 
37        ;Dewasa              
8         ;Kanak-Kanak         
74        ;Tua                 
71        ;Tua                 
9         ;Kanak-Kanak         
72        ;Tua                 
10        ;Kanak-Kanak         
